id , painting_title             , season, episode, air_date , Alizarin_Crimson, Black_Gesso, Bright_Red, Burnt_Umber, Cadmium_Yellow, Dark_Sienna, Indian_Red, Indian_Yellow, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, APPLE_FRAME, AURORA_BOREALIS, BARN, BEACH, BOAT, BRIDGE, BUILDING, BUSHES, CABIN, CACTUS, CIRCLE_FRAME, CIRRUS, CLIFF, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, DIANE_ANDRE, DOCK, DOUBLE_OVAL_FRAME, FARM, FENCE, FIRE, FLORIDA_FRAME, FLOWERS, FOG, FRAMED, GRASS, GUEST, HALF_CIRCLE_FRAME, HALF_OVAL_FRAME, HILLS, LAKE, LAKES, LIGHTHOUSE, MILL, MOON, MOUNTAIN, MOUNTAINS, NIGHT, OCEAN, OVAL_FRAME, PALM_TREES, PATH, PERSON, PORTRAIT, RECTANGLE_3D_FRAME, RECTANGULAR_FRAME, RIVER, ROCKS, SEASHELL_FRAME, SNOW, SNOWY_MOUNTAIN, SPLIT_FRAME, STEVE_ROSS, STRUCTURE, SUN, TOMB_FRAME, TREE, TREES, TRIPLE_FRAME, WATERFALL, WAVES, WINDMILL, WINDOW_FRAME, WINTER, WOOD_FRAMED
 11, Winter Glow                ,      1,      11, 15-Mar-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 12, Snow Fall                  ,      1,      12, 22-Mar-83,                1,           0,          0,           0,              0,           0,          0,             0,            0,            0,              0,            0,             0,             1,         0,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      1,     0,      1,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 13, Final Reflections          ,      1,      13, 29-Mar-83,                1,           0,          1,           0,              1,           0,          0,             0,            0,            0,              0,            0,             1,             1,         1,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       1,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 14, Meadow Lake                ,      2,       1, 31-Aug-83,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       1,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              1,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 15, Winter Sun                 ,      2,       2, 7-Sep-83 ,                1,           0,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      0,       1,       0,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    1,              0,           0,          0,         0,   1,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 16, Ebony Sea                  ,      2,       3, 14-Sep-83,                1,           1,          1,           1,              1,           0,          0,             1,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      1,       0,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     1,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   1,          0,    1,     1,            0,         0,     1,        0,            0,      0,           0
 17, Shades of Grey             ,      2,       4, 21-Sep-83,                0,           0,          0,           0,              0,           0,          0,             0,            0,            0,              0,            0,             0,             1,         0,              1,              1,            0,           0,               0,    0,     0,    0,      0,        0,      1,     1,      0,            0,      0,     0,      1,       1,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     0,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    1,              1,           0,          0,         1,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 18, Autumn Splendor            ,      2,       5, 28-Sep-83,                1,           0,          1,           1,              1,           0,          0,             0,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      0,       0,       0,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 19, Black River                ,      2,       6, 5-Oct-83 ,                1,           0,          1,           1,              1,           0,          0,             0,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      1,     0,      0,            0,      0,     0,      1,       0,       1,         1,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    0,     0,          0,    0,    0,        0,         0,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     1,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
 20, Brown Mountain             ,      2,       7, 12-Oct-83,                1,           0,          1,           1,              1,           0,          0,             0,            0,            0,              0,            1,             1,             1,         1,              1,              1,            1,           0,               0,    0,     0,    0,      0,        0,      0,     0,      0,            0,      0,     0,      1,       1,       1,         0,           0,    0,                 0,    0,     0,    0,             0,       0,   0,      0,     1,     0,                 0,               0,     0,    1,     0,          0,    0,    0,        1,         1,     0,     0,          0,          0,    0,      0,        0,                  0,                 0,     0,     0,              0,    0,              0,           0,          0,         0,   0,          0,    1,     1,            0,         0,     0,        0,            0,      0,           0
